Start Time,13:25:00,13:28:00,13:31:01,13:34:00,13:37:01,13:40:00,13:43:00,13:46:00,13:49:00,13:52:00,13:55:00,13:58:00,14:01:00,14:04:00,14:07:00,14:10:00,14:13:00,14:16:00,14:19:00,14:22:00,14:25:00,14:28:01,14:31:00,14:34:00,14:37:00,14:40:00,14:43:00,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:00,15:16:00,15:19:00,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:01,15:40:00
Aerodynamic Diameter,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp,dN/dlogDp
3.786,0.0247737,0,0,0.0371605,0.0247737,0.0247737,0.0123868,0.0371605,0.0123868,0,0.0123868,0,0,0,0,0,0,0,0,0,0.0371605,0.123868,0.23535,0.247737,0.272511,0.185803,0.210576,0.0371605,0.0247737,0.0247737,0,0,0,0.0743211,0.19819,0.272511,0.247737,0.247737,0.148642,0.0990948,0.0495474,0.0247737,0.0123868,0,0.0123868,0
4.068,0.0123868,0.0123868,0,0.0371605,0.0247737,0,0.0123868,0.0123868,0.0247737,0,0,0,0,0,0,0.0123868,0,0,0,0,0.0247737,0.0743211,0.19819,0.359219,0.272511,0.260124,0.123868,0.0247737,0.0247737,0.0247737,0,0.0247737,0,0.0495474,0.136255,0.247737,0.210576,0.0743211,0.222963,0.0495474,0.0619342,0,0,0,0.0123868,0.0495474
4.371,0,0.0123868,0,0,0.0123868,0,0.0247737,0,0,0,0,0.0247737,0,0,0,0,0,0,0,0,0.0247737,0.0867079,0.210576,0.23535,0.173416,0.111482,0.173416,0.0619342,0,0.0123868,0,0.0123868,0.0123868,0.19819,0.173416,0.222963,0.19819,0.173416,0.136255,0.0743211,0.0495474,0.0123868,0,0,0.0123868,0.0247737
4.698,0.0123868,0,0.0123868,0.0123868,0.0247737,0,0.0247737,0.0123868,0,0.0123868,0,0.0123868,0,0.0123868,0,0,0,0,0,0,0.0619342,0.0371605,0.185803,0.247737,0.161029,0.210576,0.0743211,0.0371605,0,0.0123868,0,0,0,0.0371605,0.0743211,0.19819,0.247737,0.111482,0.210576,0.0990948,0.0371605,0.0123868,0.0123868,0,0,0.0247737
5.048,0,0.0123868,0,0,0.0123868,0,0,0.0247737,0,0,0,0,0.0123868,0,0,0,0,0,0,0,0.0123868,0.111482,0.222963,0.136255,0.0990948,0.185803,0.111482,0.0371605,0.0247737,0,0,0,0,0.0247737,0.136255,0.173416,0.0867079,0.148642,0.136255,0.0990948,0.0247737,0.0495474,0,0.0123868,0.0123868,0.0123868
5.425,0,0,0,0.0123868,0.0123868,0,0,0.0123868,0,0,0,0,0,0,0,0,0,0,0,0,0.0247737,0.0867079,0.136255,0.136255,0.0990948,0.210576,0.0619342,0.0371605,0,0,0,0.0247737,0,0.0123868,0.123868,0.185803,0.148642,0.161029,0.136255,0.0371605,0.0495474,0.0247737,0,0,0,0.0123868
5.829,0.0123868,0,0,0.0123868,0,0,0,0,0.0247737,0,0.0123868,0,0,0.0123868,0,0,0,0,0,0,0.0247737,0.0743211,0.123868,0.185803,0.0990948,0.0743211,0.0867079,0.0371605,0,0,0,0,0,0.0247737,0.0371605,0.161029,0.111482,0.111482,0.161029,0.0495474,0.0247737,0.0123868,0,0.0123868,0.0123868,0.0247737
6.264,0,0.0123868,0,0,0.0371605,0.0123868,0,0,0,0,0.0123868,0,0,0.0123868,0,0,0,0,0,0,0.0371605,0.0619342,0.123868,0.185803,0.0867079,0.0743211,0.0619342,0.0247737,0.0123868,0,0,0,0,0.0371605,0.0867079,0.111482,0.136255,0.185803,0.0867079,0.0743211,0.0247737,0.0247737,0,0,0,0.0123868
6.732,0,0.0247737,0,0.0247737,0,0.0123868,0,0.0123868,0,0,0.0123868,0,0,0,0,0,0,0,0,0,0,0.0867079,0.148642,0.0743211,0.0619342,0.0867079,0.0371605,0.0743211,0.0247737,0,0,0,0,0.0371605,0.0495474,0.111482,0.148642,0.0619342,0.0495474,0.0619342,0.0495474,0,0,0,0,0.0123868
7.234,0,0.0123868,0,0,0,0,0,0,0,0.0123868,0,0,0,0,0,0,0,0,0,0,0.0495474,0.0867079,0.0990948,0.0619342,0.0619342,0.161029,0.0619342,0.0247737,0,0,0,0,0,0.0247737,0.0743211,0.0619342,0.0743211,0.111482,0.148642,0.0371605,0.0247737,0.0123868,0,0,0,0
7.774,0,0,0,0,0,0,0,0,0,0,0,0,0.0123868,0,0,0,0,0,0,0,0.0247737,0.0743211,0.0743211,0.0123868,0.0743211,0.0247737,0.0371605,0.0371605,0.0371605,0,0,0,0.0123868,0.0990948,0.0743211,0.0495474,0.0990948,0.0619342,0.0247737,0.0619342,0.0247737,0.0123868,0.0123868,0,0,0.0123868
8.354,0,0,0.0123868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0495474,0.0371605,0.111482,0.0371605,0.0743211,0.0743211,0.0371605,0.0495474,0.0123868,0,0,0,0,0.0371605,0.0619342,0.0619342,0.0743211,0.0619342,0.0619342,0.0495474,0.0247737,0,0,0,0,0
