Gas Viscosity (Pa*s),1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82767e-005,1.82815e-005,1.82863e-005,1.82911e-005,1.82958e-005,1.83006e-005,1.83054e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83340e-005,1.83340e-005,1.83388e-005,1.83388e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83579e-005,1.83579e-005
Diameter Midpoint (nm)
 38.5,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.054,0.097,0.096,0.085,0.073,0.049,0.022,0.011,0.005,0.003,0.001,0.001,0.032,0.073,0.112,0.101,0.089,0.078,0.048,0.021,0.010,0.005,0.003,0.001,0.001
 40.0,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.060,0.109,0.109,0.095,0.083,0.055,0.026,0.013,0.006,0.003,0.002,0.001,0.037,0.080,0.127,0.116,0.098,0.089,0.054,0.025,0.012,0.006,0.003,0.001,0.001
 41.4,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.069,0.122,0.124,0.108,0.096,0.063,0.030,0.014,0.007,0.003,0.002,0.001,0.039,0.091,0.144,0.130,0.113,0.102,0.061,0.028,0.013,0.006,0.003,0.002,0.001
 42.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.077,0.140,0.139,0.120,0.108,0.074,0.033,0.016,0.007,0.004,0.002,0.001,0.043,0.105,0.163,0.145,0.128,0.116,0.069,0.032,0.015,0.007,0.004,0.002,0.001
 44.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.086,0.159,0.155,0.135,0.125,0.084,0.037,0.018,0.008,0.004,0.002,0.001,0.048,0.122,0.182,0.161,0.145,0.132,0.077,0.036,0.017,0.008,0.004,0.002,0.001
 46.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.005,0.094,0.177,0.174,0.155,0.143,0.095,0.043,0.020,0.010,0.005,0.003,0.001,0.055,0.134,0.205,0.183,0.166,0.149,0.088,0.040,0.020,0.010,0.005,0.002,0.002
 47.8,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.006,0.104,0.199,0.198,0.176,0.159,0.109,0.048,0.022,0.010,0.006,0.003,0.001,0.065,0.150,0.228,0.207,0.185,0.167,0.101,0.046,0.022,0.011,0.005,0.003,0.001
 49.6,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.009,0.121,0.223,0.221,0.199,0.182,0.121,0.055,0.026,0.012,0.006,0.003,0.002,0.071,0.168,0.258,0.236,0.209,0.189,0.116,0.052,0.025,0.012,0.007,0.003,0.002
 51.4,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.011,0.133,0.251,0.247,0.225,0.201,0.137,0.061,0.029,0.014,0.007,0.004,0.002,0.079,0.189,0.287,0.264,0.239,0.214,0.131,0.058,0.027,0.014,0.007,0.004,0.002
 53.3,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.013,0.148,0.280,0.280,0.247,0.225,0.156,0.070,0.032,0.015,0.007,0.004,0.002,0.088,0.217,0.318,0.296,0.264,0.243,0.145,0.065,0.032,0.016,0.008,0.004,0.002
 55.2,0.003,0.002,0.002,0.003,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.016,0.167,0.310,0.313,0.278,0.256,0.173,0.077,0.036,0.018,0.008,0.004,0.002,0.100,0.241,0.352,0.328,0.298,0.270,0.162,0.074,0.035,0.017,0.009,0.005,0.003
 57.3,0.003,0.003,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.018,0.191,0.344,0.348,0.313,0.288,0.193,0.087,0.041,0.019,0.010,0.005,0.003,0.112,0.273,0.393,0.366,0.332,0.302,0.183,0.083,0.038,0.020,0.009,0.005,0.003
 59.4,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.023,0.218,0.380,0.381,0.351,0.318,0.216,0.099,0.044,0.021,0.011,0.005,0.003,0.130,0.298,0.437,0.413,0.376,0.339,0.207,0.093,0.043,0.021,0.011,0.005,0.003
 61.5,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.003,0.001,0.001,0.000,0.000,0.000,0.000,0.025,0.243,0.428,0.429,0.390,0.359,0.242,0.111,0.051,0.023,0.011,0.006,0.003,0.148,0.330,0.494,0.458,0.416,0.381,0.229,0.102,0.049,0.024,0.012,0.006,0.004
 63.8,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.002,0.001,0.000,0.000,0.000,0.000,0.031,0.273,0.481,0.478,0.441,0.399,0.272,0.120,0.058,0.026,0.013,0.006,0.003,0.164,0.355,0.550,0.513,0.466,0.432,0.254,0.113,0.054,0.025,0.014,0.007,0.004
 66.1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.002,0.001,0.000,0.000,0.000,0.000,0.036,0.311,0.546,0.527,0.488,0.451,0.304,0.135,0.064,0.030,0.014,0.007,0.004,0.180,0.385,0.609,0.574,0.517,0.481,0.278,0.125,0.062,0.030,0.014,0.007,0.004
 68.5,0.006,0.005,0.006,0.006,0.005,0.006,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.002,0.001,0.001,0.000,0.000,0.000,0.041,0.346,0.606,0.582,0.530,0.499,0.332,0.150,0.069,0.034,0.016,0.009,0.004,0.201,0.426,0.676,0.632,0.582,0.535,0.306,0.139,0.068,0.032,0.016,0.008,0.004
 71.0,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.006,0.006,0.005,0.003,0.001,0.001,0.000,0.000,0.000,0.043,0.385,0.662,0.638,0.581,0.548,0.362,0.162,0.075,0.032,0.018,0.009,0.005,0.219,0.478,0.730,0.684,0.629,0.590,0.337,0.154,0.076,0.035,0.017,0.010,0.005
 73.7,0.007,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.007,0.007,0.007,0.006,0.003,0.002,0.001,0.000,0.000,0.000,0.052,0.433,0.713,0.673,0.631,0.602,0.393,0.177,0.084,0.037,0.018,0.009,0.005,0.240,0.522,0.805,0.748,0.691,0.636,0.369,0.172,0.081,0.039,0.020,0.010,0.005
 76.4,0.007,0.008,0.007,0.009,0.007,0.008,0.007,0.008,0.007,0.008,0.008,0.008,0.008,0.006,0.003,0.002,0.001,0.000,0.000,0.000,0.060,0.466,0.795,0.750,0.716,0.658,0.433,0.198,0.089,0.042,0.021,0.011,0.006,0.267,0.576,0.882,0.819,0.766,0.706,0.407,0.189,0.090,0.042,0.021,0.010,0.006
 79.1,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.009,0.009,0.008,0.009,0.009,0.007,0.003,0.002,0.001,0.001,0.000,0.000,0.067,0.524,0.869,0.837,0.782,0.733,0.485,0.216,0.099,0.046,0.021,0.011,0.006,0.288,0.640,0.964,0.901,0.844,0.788,0.460,0.216,0.093,0.046,0.023,0.012,0.006
 82.0,0.009,0.010,0.009,0.009,0.009,0.009,0.010,0.010,0.009,0.009,0.008,0.009,0.011,0.007,0.005,0.002,0.001,0.001,0.000,0.000,0.073,0.566,0.924,0.908,0.852,0.798,0.513,0.237,0.109,0.051,0.026,0.013,0.006,0.312,0.694,1.065,0.971,0.944,0.862,0.502,0.229,0.106,0.049,0.022,0.012,0.006
 85.1,0.010,0.011,0.012,0.012,0.010,0.010,0.010,0.010,0.011,0.010,0.010,0.010,0.011,0.008,0.004,0.002,0.001,0.001,0.000,0.000,0.083,0.611,0.998,0.999,0.945,0.872,0.581,0.263,0.124,0.055,0.026,0.013,0.007,0.350,0.754,1.167,1.078,1.031,0.966,0.555,0.256,0.118,0.054,0.025,0.013,0.008
 88.2,0.012,0.010,0.011,0.012,0.011,0.011,0.011,0.012,0.012,0.012,0.012,0.012,0.012,0.009,0.005,0.002,0.001,0.001,0.000,0.000,0.096,0.674,1.112,1.120,1.042,0.963,0.648,0.290,0.129,0.061,0.028,0.015,0.007,0.372,0.842,1.264,1.174,1.150,1.066,0.594,0.278,0.124,0.061,0.030,0.016,0.009
 91.4,0.013,0.012,0.012,0.012,0.012,0.013,0.012,0.012,0.012,0.013,0.014,0.014,0.014,0.010,0.005,0.002,0.002,0.001,0.001,0.000,0.108,0.734,1.187,1.210,1.144,1.070,0.696,0.321,0.142,0.065,0.031,0.016,0.007,0.399,0.932,1.379,1.292,1.254,1.167,0.663,0.304,0.138,0.065,0.033,0.016,0.009
 94.7,0.013,0.015,0.013,0.012,0.013,0.014,0.012,0.015,0.014,0.014,0.014,0.016,0.015,0.011,0.006,0.003,0.001,0.001,0.001,0.000,0.127,0.805,1.306,1.330,1.248,1.172,0.754,0.352,0.162,0.069,0.035,0.018,0.010,0.430,1.058,1.469,1.428,1.353,1.305,0.734,0.324,0.155,0.076,0.034,0.017,0.010
 98.2,0.014,0.014,0.013,0.013,0.014,0.014,0.014,0.014,0.015,0.014,0.016,0.014,0.015,0.012,0.006,0.002,0.002,0.001,0.001,0.001,0.140,0.876,1.450,1.447,1.377,1.308,0.830,0.384,0.166,0.082,0.040,0.019,0.009,0.485,1.154,1.619,1.569,1.493,1.423,0.804,0.360,0.160,0.079,0.037,0.019,0.010
101.8,0.015,0.016,0.014,0.016,0.016,0.015,0.014,0.015,0.016,0.015,0.017,0.015,0.016,0.012,0.006,0.003,0.002,0.001,0.000,0.000,0.163,0.960,1.576,1.581,1.506,1.438,0.893,0.416,0.185,0.086,0.044,0.020,0.009,0.532,1.273,1.785,1.725,1.650,1.568,0.876,0.394,0.182,0.084,0.042,0.021,0.011
