Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022
Start Time,14:25:00,14:28:00,14:31:00,14:34:00,14:37:00,14:40:00,14:43:01,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:00,15:16:00,15:19:00,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:00
Sample Temp (C),23.5,23.5,23.6,23.6,23.6,23.7,23.7,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.9,23.8,23.9,23.9,23.9,23.9,23.9,23.9,23.9
Sample Pressure (kPa),81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.1,81.1,81.1,81.2
Relative Humidity (%),41.3,41.3,41.3,41.3,41.3,41.4,41.4,41.4,41.4,41.4,41.5,41.5,41.5,41.5,41.6,41.6,41.7,41.7,41.7,41.8,41.8,41.9,41.9,41.9,42.0
Mean Free Path (m),8.41395e-008,8.41395e-008,8.41756e-008,8.41756e-008,8.41756e-008,8.42116e-008,8.42116e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42477e-008,8.42837e-008,8.42477e-008,8.42837e-008,8.42837e-008,8.42837e-008,8.43877e-008,8.43877e-008,8.43877e-008,8.42837e-008
Gas Viscosity (Pa*s),1.83484e-005,1.83484e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83579e-005,1.83579e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83627e-005,1.83674e-005,1.83627e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83674e-005,1.83674e-005
Diameter Midpoint (nm)
 57.3,0.004,0.002,0.001,0.001,0.000,0.002,0.719,0.592,0.510,0.446,0.387,0.334,0.290,0.263,0.230,0.207,0.184,0.161,0.148,0.134,0.125,0.113,0.104,0.095,0.087
 59.4,0.005,0.003,0.001,0.001,0.000,0.000,0.831,0.693,0.603,0.520,0.457,0.394,0.344,0.311,0.279,0.250,0.225,0.198,0.183,0.164,0.154,0.140,0.127,0.119,0.109
 61.5,0.006,0.003,0.002,0.001,0.000,0.000,0.965,0.810,0.697,0.619,0.545,0.471,0.408,0.375,0.339,0.299,0.273,0.243,0.222,0.203,0.195,0.175,0.160,0.149,0.135
 63.8,0.008,0.004,0.002,0.001,0.001,0.000,1.119,0.946,0.819,0.730,0.638,0.555,0.503,0.449,0.404,0.364,0.330,0.294,0.271,0.253,0.237,0.215,0.196,0.186,0.168
 66.1,0.009,0.005,0.003,0.001,0.001,0.000,1.272,1.104,0.971,0.854,0.760,0.665,0.597,0.535,0.489,0.437,0.392,0.364,0.333,0.309,0.288,0.260,0.238,0.230,0.207
 68.5,0.011,0.006,0.003,0.002,0.001,0.000,1.474,1.289,1.126,1.009,0.893,0.784,0.704,0.637,0.591,0.538,0.487,0.442,0.404,0.378,0.362,0.325,0.290,0.276,0.257
 71.0,0.013,0.006,0.004,0.002,0.001,0.000,1.660,1.445,1.276,1.127,1.003,0.906,0.793,0.723,0.653,0.608,0.540,0.497,0.462,0.431,0.395,0.364,0.331,0.313,0.291
 73.7,0.015,0.007,0.004,0.002,0.001,0.000,1.839,1.602,1.435,1.283,1.115,1.029,0.895,0.822,0.747,0.686,0.629,0.575,0.531,0.497,0.456,0.416,0.392,0.358,0.338
 76.4,0.017,0.009,0.005,0.002,0.001,0.000,2.148,1.863,1.672,1.469,1.311,1.200,1.069,0.975,0.900,0.820,0.745,0.685,0.648,0.593,0.547,0.497,0.470,0.425,0.416
 79.1,0.020,0.011,0.005,0.003,0.001,0.000,2.459,2.164,1.939,1.707,1.538,1.406,1.264,1.159,1.038,0.969,0.876,0.811,0.777,0.717,0.660,0.605,0.565,0.513,0.496
 82.0,0.025,0.012,0.007,0.003,0.002,0.000,2.792,2.511,2.243,1.985,1.812,1.667,1.482,1.354,1.253,1.142,1.054,0.972,0.923,0.852,0.775,0.718,0.679,0.628,0.593
