Mean Free Path (m),8.35276e-008,8.35634e-008,8.35634e-008,8.35991e-008,8.35991e-008,8.36349e-008,8.35329e-008,8.36349e-008,8.36349e-008,8.36349e-008,8.36349e-008,8.36349e-008,8.36706e-008,8.36706e-008,8.36706e-008,8.36706e-008,8.36706e-008,8.36706e-008,8.36706e-008,8.37064e-008,8.37064e-008,8.37064e-008,8.37064e-008,8.37064e-008,8.37064e-008,8.37421e-008,8.37421e-008
Gas Viscosity (Pa*s),1.83627e-005,1.83674e-005,1.83674e-005,1.83722e-005,1.83722e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83913e-005,1.83913e-005
Diameter Midpoint (nm)
 68.5,0.000,0.000,0.000,0.000,0.000,0.031,0.157,0.150,0.145,0.139,0.132,0.126,0.119,0.119,0.116,0.107,0.102,0.102,0.098,0.092,0.088,0.085,0.082,0.076,0.074,0.075,0.073
 71.0,0.000,0.000,0.000,0.000,0.000,0.034,0.171,0.160,0.158,0.151,0.143,0.138,0.132,0.127,0.123,0.116,0.113,0.109,0.103,0.099,0.097,0.090,0.089,0.086,0.083,0.078,0.076
 73.7,0.000,0.000,0.000,0.000,0.000,0.037,0.181,0.172,0.169,0.160,0.156,0.147,0.143,0.136,0.132,0.127,0.121,0.115,0.108,0.106,0.106,0.098,0.096,0.093,0.090,0.087,0.083
 76.4,0.000,0.001,0.000,0.000,0.000,0.039,0.193,0.189,0.181,0.174,0.168,0.159,0.157,0.151,0.144,0.139,0.129,0.124,0.120,0.118,0.115,0.108,0.103,0.103,0.098,0.095,0.090
 79.1,0.000,0.000,0.000,0.000,0.000,0.041,0.211,0.202,0.193,0.184,0.180,0.174,0.166,0.169,0.158,0.151,0.140,0.139,0.133,0.125,0.123,0.117,0.119,0.113,0.105,0.105,0.101
 82.0,0.001,0.000,0.000,0.000,0.000,0.043,0.227,0.218,0.212,0.203,0.195,0.186,0.180,0.173,0.166,0.162,0.158,0.150,0.144,0.139,0.130,0.128,0.125,0.121,0.113,0.114,0.110
 85.1,0.000,0.000,0.000,0.000,0.000,0.046,0.243,0.240,0.233,0.212,0.209,0.207,0.193,0.186,0.184,0.175,0.166,0.162,0.159,0.149,0.146,0.142,0.134,0.130,0.129,0.122,0.122
 88.2,0.001,0.000,0.000,0.000,0.000,0.053,0.261,0.261,0.254,0.239,0.226,0.219,0.212,0.208,0.198,0.190,0.186,0.171,0.175,0.166,0.162,0.156,0.150,0.143,0.138,0.138,0.131
 91.4,0.001,0.000,0.000,0.000,0.000,0.061,0.286,0.273,0.272,0.253,0.246,0.240,0.225,0.221,0.215,0.203,0.197,0.190,0.189,0.176,0.174,0.165,0.159,0.158,0.153,0.145,0.143
 94.7,0.001,0.000,0.000,0.000,0.000,0.071,0.311,0.293,0.286,0.268,0.265,0.260,0.246,0.238,0.231,0.224,0.215,0.204,0.197,0.198,0.188,0.186,0.175,0.168,0.161,0.157,0.154
 98.2,0.001,0.001,0.000,0.000,0.000,0.080,0.323,0.313,0.307,0.292,0.285,0.279,0.270,0.256,0.249,0.244,0.237,0.226,0.221,0.208,0.201,0.204,0.189,0.178,0.182,0.169,0.174
101.8,0.001,0.000,0.000,0.000,0.000,0.093,0.351,0.346,0.332,0.321,0.317,0.303,0.286,0.290,0.264,0.258,0.252,0.241,0.241,0.227,0.224,0.212,0.209,0.203,0.191,0.186,0.189
105.5,0.001,0.001,0.000,0.000,0.000,0.104,0.375,0.374,0.356,0.349,0.336,0.325,0.309,0.304,0.286,0.288,0.278,0.263,0.257,0.251,0.236,0.240,0.228,0.217,0.213,0.200,0.198
109.4,0.001,0.000,0.000,0.000,0.000,0.103,0.417,0.398,0.383,0.372,0.357,0.350,0.337,0.332,0.315,0.305,0.287,0.284,0.273,0.277,0.252,0.242,0.242,0.228,0.222,0.221,0.223
113.4,0.001,0.000,0.000,0.000,0.000,0.117,0.455,0.427,0.419,0.401,0.384,0.374,0.362,0.346,0.337,0.319,0.308,0.317,0.289,0.285,0.277,0.271,0.264,0.256,0.242,0.238,0.232
117.6,0.002,0.001,0.000,0.000,0.000,0.120,0.477,0.459,0.450,0.425,0.427,0.415,0.396,0.373,0.371,0.359,0.351,0.329,0.326,0.311,0.302,0.298,0.285,0.285,0.263,0.257,0.247
121.9,0.002,0.001,0.000,0.000,0.000,0.138,0.511,0.496,0.472,0.451,0.446,0.433,0.412,0.416,0.390,0.381,0.363,0.362,0.351,0.334,0.337,0.321,0.308,0.298,0.289,0.289,0.264
126.3,0.001,0.001,0.001,0.000,0.000,0.154,0.541,0.522,0.502,0.499,0.489,0.458,0.459,0.439,0.422,0.415,0.390,0.374,0.378,0.369,0.357,0.342,0.346,0.326,0.309,0.310,0.300
131.0,0.002,0.001,0.000,0.000,0.000,0.173,0.573,0.566,0.548,0.527,0.511,0.507,0.492,0.473,0.448,0.432,0.429,0.419,0.407,0.378,0.388,0.369,0.362,0.345,0.324,0.333,0.310
135.8,0.002,0.001,0.001,0.000,0.000,0.204,0.615,0.601,0.598,0.565,0.546,0.525,0.514,0.511,0.501,0.485,0.454,0.434,0.435,0.405,0.416,0.401,0.388,0.367,0.360,0.356,0.343
140.7,0.005,0.001,0.001,0.001,0.000,0.217,0.660,0.649,0.608,0.626,0.580,0.577,0.547,0.552,0.524,0.508,0.477,0.476,0.463,0.448,0.442,0.427,0.418,0.407,0.406,0.372,0.364
145.9,0.003,0.002,0.001,0.000,0.001,0.223,0.686,0.664,0.666,0.650,0.649,0.638,0.605,0.594,0.567,0.558,0.532,0.506,0.491,0.481,0.485,0.436,0.452,0.440,0.448,0.412,0.396
151.2,0.003,0.003,0.001,0.001,0.001,0.225,0.729,0.730,0.711,0.698,0.660,0.657,0.616,0.626,0.596,0.572,0.559,0.537,0.522,0.518,0.494,0.486,0.464,0.487,0.439,0.434,0.422
156.8,0.003,0.003,0.002,0.001,0.001,0.234,0.800,0.743,0.748,0.744,0.718,0.705,0.692,0.654,0.647,0.625,0.610,0.576,0.573,0.554,0.541,0.521,0.497,0.491,0.482,0.467,0.460
162.5,0.004,0.002,0.002,0.001,0.001,0.254,0.824,0.818,0.805,0.775,0.764,0.747,0.720,0.700,0.687,0.676,0.640,0.597,0.610,0.569,0.569,0.543,0.562,0.521,0.509,0.489,0.489
168.5,0.005,0.003,0.002,0.001,0.001,0.282,0.885,0.866,0.856,0.811,0.803,0.826,0.773,0.770,0.729,0.680,0.698,0.672,0.647,0.619,0.634,0.621,0.572,0.574,0.514,0.520,0.521
174.7,0.004,0.004,0.002,0.000,0.001,0.308,0.929,0.921,0.894,0.888,0.884,0.833,0.819,0.783,0.791,0.751,0.737,0.716,0.682,0.661,0.650,0.652,0.618,0.588,0.585,0.557,0.544
181.1,0.005,0.005,0.002,0.001,0.002,0.319,0.972,0.931,0.931,0.963,0.910,0.898,0.878,0.839,0.794,0.797,0.749,0.758,0.716,0.726,0.687,0.673,0.666,0.624,0.614,0.602,0.582
187.7,0.004,0.002,0.003,0.002,0.002,0.352,1.024,1.012,1.022,0.983,0.930,0.919,0.915,0.855,0.849,0.831,0.819,0.802,0.757,0.758,0.738,0.697,0.679,0.658,0.640,0.652,0.593
194.6,0.003,0.003,0.001,0.003,0.002,0.397,1.086,1.087,1.048,1.050,1.032,0.981,0.934,0.949,0.903,0.843,0.855,0.832,0.778,0.766,0.749,0.717,0.722,0.704,0.679,0.650,0.619
201.7,0.007,0.005,0.002,0.001,0.001,0.407,1.101,1.088,1.119,1.111,1.049,1.023,0.995,1.004,0.982,0.945,0.902,0.857,0.807,0.861,0.813,0.809,0.751,0.789,0.739,0.700,0.692
209.1,0.007,0.002,0.003,0.003,0.000,0.432,1.135,1.163,1.135,1.106,1.119,1.108,1.067,0.992,1.010,0.990,0.971,0.939,0.846,0.863,0.819,0.789,0.798,0.776,0.754,0.728,0.719
216.7,0.008,0.005,0.003,0.001,0.001,0.465,1.206,1.200,1.203,1.178,1.181,1.116,1.060,1.033,1.056,0.998,0.934,0.965,0.941,0.892,0.851,0.863,0.789,0.823,0.826,0.744,0.750
224.7,0.005,0.006,0.001,0.001,0.000,0.473,1.242,1.287,1.289,1.214,1.177,1.172,1.174,1.144,1.082,1.036,1.033,0.988,0.955,0.940,0.907,0.903,0.883,0.852,0.801,0.741,0.770
232.9,0.006,0.003,0.001,0.003,0.001,0.534,1.269,1.244,1.301,1.223,1.231,1.176,1.206,1.125,1.111,1.075,1.029,1.008,1.034,0.980,0.927,0.946,0.933,0.823,0.772,0.829,0.759
241.4,0.004,0.001,0.001,0.000,0.002,0.520,1.326,1.302,1.280,1.281,1.305,1.224,1.243,1.182,1.181,1.099,1.061,1.080,1.030,0.949,0.953,0.977,0.960,0.917,0.897,0.879,0.833
250.3,0.008,0.003,0.000,0.001,0.001,0.569,1.296,1.362,1.376,1.309,1.286,1.265,1.221,1.249,1.152,1.184,1.117,1.130,1.047,1.063,1.015,0.995,0.916,0.934,0.913,0.876,0.849
259.5,0.004,0.003,0.001,0.002,0.002,0.562,1.304,1.347,1.326,1.313,1.316,1.322,1.248,1.212,1.204,1.152,1.137,1.141,1.030,0.995,1.041,0.976,0.903,0.909,0.941,0.866,0.797
269.0,0.005,0.003,0.003,0.003,0.000,0.537,1.268,1.389,1.353,1.391,1.339,1.325,1.282,1.200,1.174,1.168,1.128,1.104,1.087,1.083,1.019,1.034,1.006,0.944,0.887,0.923,0.896
278.8,0.005,0.007,0.003,0.002,0.003,0.516,1.299,1.258,1.317,1.387,1.336,1.324,1.271,1.274,1.177,1.197,1.150,1.086,1.116,1.015,0.991,1.011,0.934,0.942,0.857,0.890,0.887
289.0,0.002,0.001,0.001,0.001,0.000,0.482,1.285,1.296,1.425,1.410,1.363,1.359,1.280,1.232,1.157,1.105,1.176,1.090,1.055,0.982,1.044,0.961,0.916,0.986,0.889,0.826,0.823
299.6,0.003,0.006,0.003,0.000,0.003,0.468,1.224,1.317,1.391,1.380,1.321,1.320,1.303,1.267,1.219,1.130,1.125,1.080,0.993,0.984,0.972,0.979,0.908,0.900,0.908,0.845,0.866
