Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022,7/18/2022
Start Time,11:35:00,11:38:00,11:41:00,11:44:00,11:47:00,11:50:00,11:53:00,11:56:00,11:59:00,12:02:00,12:05:00,12:08:00,12:11:00,12:14:00,12:17:00,12:20:00,12:23:00,12:26:00,12:29:00,12:32:00,12:35:00,12:38:00,12:41:00,12:44:00,12:47:00
Sample Temp (C),22.8,22.7,22.8,22.9,22.9,23.0,23.0,23.0,23.0,23.0,23.0,23.1,23.1,23.1,23.1,23.1,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2
Sample Pressure (kPa),81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3
Relative Humidity (%),52.4,51.5,50.8,50.3,49.9,49.5,49.3,49.1,48.9,48.8,48.7,48.6,48.5,48.4,48.4,48.3,48.3,48.2,48.2,48.1,48.1,48.0,48.0,48.0,47.9
Mean Free Path (m),8.37840e-008,8.37480e-008,8.37840e-008,8.38200e-008,8.38200e-008,8.38560e-008,8.38560e-008,8.38560e-008,8.38560e-008,8.38560e-008,8.38560e-008,8.38920e-008,8.38920e-008,8.38920e-008,8.38920e-008,8.38920e-008,8.39280e-008,8.39280e-008,8.39280e-008,8.39280e-008,8.39280e-008,8.39280e-008,8.39280e-008,8.39280e-008,8.39280e-008
Gas Viscosity (Pa*s),1.83149e-005,1.83102e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005
Diameter Midpoint (nm)
 94.7,0.023,0.012,0.005,0.003,0.002,3.241,5.467,5.064,4.761,4.428,4.164,3.981,3.681,3.514,3.324,3.126,2.958,2.789,2.664,2.512,2.390,2.267,2.158,2.076,1.981
 98.2,0.027,0.014,0.007,0.003,0.002,3.757,5.961,5.542,5.225,4.899,4.633,4.400,4.118,3.868,3.689,3.491,3.338,3.148,3.016,2.846,2.711,2.604,2.471,2.350,2.240
101.8,0.031,0.017,0.009,0.005,0.002,4.374,6.322,5.992,5.642,5.285,5.038,4.832,4.507,4.282,4.044,3.846,3.654,3.508,3.323,3.177,3.042,2.877,2.743,2.660,2.541
105.5,0.037,0.018,0.011,0.005,0.004,4.994,6.765,6.387,6.086,5.727,5.448,5.219,4.904,4.683,4.455,4.261,4.048,3.836,3.692,3.529,3.382,3.202,3.050,2.932,2.832
109.4,0.050,0.025,0.012,0.007,0.003,5.581,7.176,6.789,6.465,6.114,5.900,5.567,5.310,5.089,4.824,4.636,4.443,4.224,4.056,3.887,3.721,3.556,3.417,3.250,3.155
113.4,0.059,0.027,0.015,0.007,0.005,6.190,7.516,7.123,6.817,6.490,6.245,5.961,5.721,5.459,5.213,5.006,4.809,4.605,4.431,4.211,4.042,3.867,3.735,3.643,3.437
117.6,0.064,0.032,0.015,0.008,0.006,6.811,7.823,7.439,7.215,6.909,6.595,6.320,6.088,5.811,5.598,5.409,5.185,4.958,4.746,4.582,4.422,4.233,4.093,3.892,3.763
121.9,0.075,0.035,0.021,0.010,0.005,7.284,8.100,7.816,7.549,7.215,6.929,6.618,6.389,6.160,5.912,5.705,5.466,5.291,5.076,4.900,4.746,4.519,4.345,4.236,4.082
126.3,0.098,0.047,0.023,0.012,0.006,7.715,8.425,8.075,7.794,7.488,7.139,6.965,6.716,6.486,6.273,6.049,5.799,5.599,5.408,5.223,5.036,4.881,4.682,4.516,4.315
131.0,0.110,0.050,0.030,0.016,0.007,8.029,8.582,8.292,7.992,7.679,7.453,7.195,6.936,6.769,6.524,6.365,6.033,5.861,5.620,5.525,5.284,5.139,4.963,4.797,4.646
135.8,0.124,0.059,0.031,0.018,0.009,8.259,8.731,8.448,8.222,7.892,7.620,7.390,7.180,6.953,6.781,6.530,6.342,6.136,5.944,5.758,5.585,5.365,5.175,5.017,4.858
140.7,0.151,0.074,0.039,0.017,0.010,8.375,8.819,8.529,8.264,8.032,7.774,7.522,7.301,7.107,6.882,6.689,6.505,6.255,6.111,5.965,5.730,5.591,5.435,5.202,5.053
145.9,0.167,0.085,0.045,0.018,0.013,8.411,8.817,8.631,8.351,8.116,7.867,7.644,7.405,7.213,7.012,6.840,6.542,6.420,6.295,6.088,5.886,5.711,5.537,5.369,5.233
151.2,0.201,0.092,0.043,0.025,0.015,8.366,8.888,8.620,8.434,8.158,7.906,7.690,7.440,7.316,7.106,6.929,6.739,6.481,6.338,6.195,5.951,5.818,5.653,5.482,5.417
156.8,0.230,0.111,0.056,0.028,0.016,8.348,8.854,8.581,8.327,8.102,7.824,7.657,7.501,7.253,7.103,6.889,6.758,6.509,6.421,6.225,6.018,5.918,5.790,5.558,5.388
162.5,0.252,0.125,0.063,0.036,0.017,8.424,8.830,8.545,8.222,8.066,7.748,7.712,7.433,7.266,7.084,7.013,6.758,6.584,6.416,6.273,6.039,5.951,5.823,5.682,5.512
168.5,0.301,0.127,0.073,0.037,0.020,8.251,8.691,8.434,8.141,8.023,7.739,7.533,7.405,7.312,6.992,6.802,6.727,6.508,6.325,6.174,6.084,5.890,5.728,5.648,5.459
174.7,0.329,0.158,0.076,0.043,0.022,8.188,8.500,8.253,8.052,7.851,7.579,7.438,7.217,7.151,6.914,6.724,6.525,6.352,6.287,6.126,6.044,5.787,5.767,5.581,5.508
181.1,0.365,0.174,0.088,0.044,0.022,8.031,8.375,8.111,7.811,7.672,7.405,7.277,7.156,6.872,6.801,6.595,6.415,6.254,6.190,6.021,5.949,5.695,5.651,5.471,5.360
187.7,0.403,0.192,0.097,0.050,0.032,7.894,8.202,7.848,7.670,7.582,7.325,7.091,6.918,6.713,6.577,6.456,6.302,6.154,6.030,5.989,5.693,5.616,5.484,5.331,5.267
194.6,0.420,0.202,0.102,0.048,0.027,7.768,7.858,7.672,7.485,7.127,7.130,6.878,6.632,6.520,6.414,6.171,6.088,6.012,5.818,5.651,5.595,5.429,5.339,5.219,5.057
