Start Time,11:25:00,11:28:00,11:31:00,11:34:00,11:37:00,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:00,12:37:00,12:40:00,12:43:00
Sample Temp (C),22.5,22.4,22.3,22.3,22.2,22.2,22.2,22.3,22.4,22.5,22.5,22.6,22.7,22.7,22.8,22.8,22.9,22.9,23.0,23.0,23.1,23.1,23.1,23.1,23.2,23.2,23.2
Sample Pressure (kPa),81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.4,81.4
Relative Humidity (%),56.6,56.5,56.5,56.7,56.9,57.1,57.3,57.5,57.6,57.7,57.8,57.8,57.7,57.6,57.5,57.4,57.2,57.1,56.9,56.8,56.6,56.4,56.3,56.2,56.0,55.9,55.8
Mean Free Path (m),8.34706e-008,8.34347e-008,8.33988e-008,8.33988e-008,8.33629e-008,8.33629e-008,8.33629e-008,8.33988e-008,8.34347e-008,8.34706e-008,8.34706e-008,8.35065e-008,8.35424e-008,8.35424e-008,8.35784e-008,8.35784e-008,8.36143e-008,8.36143e-008,8.36502e-008,8.36502e-008,8.36861e-008,8.36861e-008,8.36861e-008,8.36861e-008,8.37220e-008,8.38249e-008,8.38249e-008
Gas Viscosity (Pa*s),1.83006e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82911e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83340e-005,1.83340e-005,1.83340e-005
Diameter Midpoint (nm)
109.4,0.005,0.007,0.005,0.006,0.007,0.177,0.663,0.549,0.411,0.293,0.218,0.157,0.110,0.079,0.061,0.044,0.035,0.023,0.017,0.014,0.010,0.007,0.005,0.005,0.004,0.003,0.003
113.4,0.008,0.007,0.007,0.007,0.007,0.205,0.726,0.588,0.444,0.320,0.239,0.176,0.124,0.092,0.064,0.049,0.040,0.029,0.020,0.015,0.011,0.009,0.007,0.004,0.003,0.003,0.003
117.6,0.009,0.007,0.008,0.006,0.009,0.214,0.786,0.659,0.479,0.348,0.260,0.193,0.137,0.093,0.069,0.053,0.043,0.031,0.022,0.016,0.011,0.009,0.007,0.005,0.005,0.003,0.003
121.9,0.009,0.010,0.008,0.008,0.008,0.239,0.838,0.706,0.532,0.384,0.284,0.203,0.151,0.115,0.077,0.059,0.045,0.032,0.025,0.018,0.014,0.009,0.007,0.007,0.005,0.003,0.004
126.3,0.012,0.009,0.008,0.011,0.009,0.260,0.890,0.736,0.560,0.414,0.309,0.229,0.162,0.117,0.088,0.067,0.045,0.035,0.026,0.021,0.015,0.011,0.010,0.008,0.004,0.006,0.003
131.0,0.012,0.014,0.011,0.009,0.011,0.279,0.976,0.806,0.597,0.461,0.339,0.244,0.173,0.129,0.094,0.072,0.059,0.036,0.028,0.022,0.017,0.013,0.013,0.008,0.004,0.005,0.004
135.8,0.012,0.013,0.012,0.011,0.012,0.309,1.060,0.878,0.658,0.500,0.361,0.255,0.190,0.142,0.103,0.076,0.059,0.042,0.030,0.025,0.021,0.015,0.011,0.011,0.006,0.006,0.005
140.7,0.013,0.013,0.015,0.012,0.012,0.324,1.132,0.943,0.719,0.536,0.389,0.279,0.190,0.164,0.104,0.078,0.070,0.044,0.036,0.024,0.020,0.017,0.010,0.009,0.009,0.006,0.005
145.9,0.012,0.012,0.012,0.012,0.014,0.351,1.238,0.991,0.778,0.574,0.419,0.312,0.229,0.166,0.132,0.090,0.066,0.046,0.036,0.031,0.025,0.015,0.011,0.009,0.006,0.009,0.006
151.2,0.013,0.017,0.014,0.013,0.012,0.392,1.349,1.072,0.846,0.622,0.449,0.329,0.251,0.181,0.134,0.104,0.077,0.060,0.043,0.028,0.024,0.014,0.019,0.011,0.010,0.007,0.007
