Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022,7/5/2022
Start Time,16:15:01,16:18:01,16:21:01,16:24:01,16:27:01,16:30:00,16:33:00,16:36:00,16:39:00,16:42:00,16:45:00,16:48:00,16:51:00,16:54:00,16:57:00,17:00:00,17:03:00,17:06:00,17:09:00,17:12:00,17:15:00,17:18:00,17:21:00,17:24:00,17:27:00,17:30:00,17:33:00
Sample Temp (C),23.3,23.3,23.4,23.4,23.4,23.5,23.5,23.5,23.5,23.5,23.5,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6
Sample Pressure (kPa),81.3,81.3,81.3,81.3,81.4,81.3,81.3,81.4,81.3,81.3,81.4,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3
Relative Humidity (%),41.6,41.6,41.6,41.6,41.7,41.7,41.7,41.8,41.8,41.8,41.8,41.8,41.8,41.9,41.9,41.9,42.0,42.0,42.1,42.1,42.1,42.2,42.2,42.3,42.3,42.3,42.4
Mean Free Path (m),8.39640e-008,8.39640e-008,8.40000e-008,8.40000e-008,8.38968e-008,8.40360e-008,8.40360e-008,8.39328e-008,8.40360e-008,8.40360e-008,8.39328e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008,8.40720e-008
Gas Viscosity (Pa*s),1.83388e-005,1.83388e-005,1.83436e-005,1.83436e-005,1.83436e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83484e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005,1.83531e-005
Diameter Midpoint (nm)
 59.4,0.002,0.001,0.000,0.000,0.000,0.011,0.114,0.119,0.113,0.105,0.102,0.096,0.091,0.086,0.083,0.079,0.076,0.074,0.067,0.064,0.063,0.060,0.060,0.056,0.055,0.053,0.048
 61.5,0.002,0.001,0.000,0.000,0.000,0.014,0.128,0.130,0.124,0.115,0.114,0.106,0.098,0.098,0.091,0.087,0.084,0.080,0.076,0.075,0.070,0.066,0.065,0.061,0.060,0.058,0.053
 63.8,0.002,0.001,0.001,0.000,0.000,0.017,0.141,0.140,0.137,0.129,0.126,0.115,0.110,0.108,0.101,0.098,0.092,0.090,0.084,0.081,0.079,0.075,0.071,0.068,0.067,0.066,0.060
 66.1,0.003,0.001,0.001,0.000,0.000,0.022,0.156,0.154,0.147,0.138,0.131,0.127,0.123,0.112,0.112,0.107,0.101,0.099,0.091,0.090,0.085,0.085,0.079,0.076,0.075,0.071,0.067
 68.5,0.003,0.001,0.001,0.000,0.000,0.025,0.166,0.165,0.162,0.150,0.144,0.138,0.134,0.127,0.119,0.116,0.110,0.109,0.105,0.098,0.096,0.093,0.087,0.086,0.081,0.077,0.075
 71.0,0.002,0.002,0.001,0.000,0.000,0.029,0.183,0.182,0.175,0.162,0.156,0.152,0.146,0.137,0.133,0.127,0.120,0.118,0.111,0.106,0.106,0.100,0.094,0.091,0.089,0.085,0.080
 73.7,0.003,0.002,0.001,0.000,0.000,0.031,0.192,0.192,0.191,0.174,0.168,0.164,0.157,0.144,0.144,0.137,0.131,0.128,0.122,0.116,0.108,0.105,0.102,0.102,0.097,0.093,0.086
 76.4,0.004,0.001,0.001,0.001,0.000,0.034,0.210,0.211,0.203,0.192,0.185,0.178,0.174,0.163,0.159,0.151,0.141,0.141,0.131,0.130,0.122,0.118,0.114,0.111,0.107,0.102,0.097
 79.1,0.004,0.002,0.001,0.000,0.000,0.038,0.229,0.226,0.220,0.210,0.203,0.187,0.186,0.174,0.169,0.163,0.156,0.151,0.147,0.135,0.132,0.132,0.123,0.117,0.117,0.112,0.109
 82.0,0.004,0.002,0.001,0.001,0.000,0.049,0.252,0.245,0.240,0.223,0.224,0.208,0.201,0.196,0.190,0.183,0.171,0.161,0.160,0.150,0.146,0.142,0.139,0.132,0.130,0.122,0.117
 85.1,0.004,0.002,0.001,0.001,0.000,0.056,0.267,0.266,0.257,0.248,0.229,0.231,0.222,0.206,0.204,0.198,0.186,0.179,0.175,0.168,0.159,0.154,0.145,0.145,0.145,0.132,0.129
 88.2,0.005,0.002,0.001,0.001,0.001,0.065,0.287,0.291,0.276,0.274,0.259,0.245,0.235,0.223,0.226,0.211,0.205,0.198,0.195,0.181,0.179,0.165,0.164,0.159,0.158,0.141,0.139
 91.4,0.006,0.003,0.002,0.001,0.000,0.074,0.314,0.313,0.300,0.289,0.280,0.259,0.262,0.246,0.237,0.235,0.223,0.216,0.206,0.197,0.193,0.185,0.179,0.174,0.167,0.160,0.155
 94.7,0.006,0.003,0.001,0.001,0.001,0.078,0.341,0.344,0.329,0.318,0.306,0.288,0.281,0.273,0.255,0.250,0.231,0.230,0.226,0.222,0.207,0.200,0.201,0.190,0.176,0.182,0.164
 98.2,0.007,0.004,0.002,0.001,0.001,0.087,0.375,0.370,0.354,0.340,0.326,0.311,0.312,0.292,0.282,0.275,0.261,0.264,0.240,0.235,0.224,0.216,0.210,0.213,0.204,0.201,0.170
101.8,0.008,0.004,0.001,0.001,0.001,0.090,0.404,0.402,0.378,0.370,0.358,0.344,0.333,0.325,0.303,0.295,0.287,0.275,0.272,0.255,0.247,0.234,0.237,0.225,0.221,0.211,0.183
105.5,0.009,0.004,0.002,0.001,0.001,0.103,0.444,0.414,0.409,0.403,0.389,0.362,0.356,0.342,0.336,0.322,0.298,0.291,0.293,0.275,0.268,0.259,0.252,0.239,0.239,0.227,0.198
109.4,0.008,0.005,0.001,0.001,0.001,0.103,0.473,0.449,0.431,0.430,0.411,0.399,0.389,0.379,0.353,0.341,0.334,0.319,0.312,0.300,0.300,0.284,0.275,0.266,0.258,0.253,0.219
113.4,0.009,0.005,0.002,0.001,0.001,0.117,0.509,0.498,0.469,0.454,0.457,0.441,0.409,0.393,0.382,0.378,0.364,0.359,0.337,0.327,0.326,0.312,0.293,0.283,0.274,0.271,0.242
117.6,0.010,0.005,0.003,0.001,0.001,0.127,0.544,0.528,0.503,0.496,0.475,0.456,0.437,0.439,0.418,0.396,0.383,0.377,0.367,0.364,0.348,0.334,0.318,0.307,0.295,0.294,0.251
121.9,0.011,0.006,0.002,0.001,0.001,0.139,0.581,0.567,0.549,0.529,0.504,0.510,0.484,0.451,0.445,0.429,0.420,0.421,0.396,0.382,0.372,0.353,0.342,0.332,0.330,0.311,0.273
126.3,0.013,0.006,0.003,0.002,0.001,0.152,0.618,0.611,0.579,0.562,0.555,0.534,0.528,0.491,0.489,0.474,0.450,0.450,0.418,0.413,0.392,0.388,0.380,0.388,0.340,0.342,0.288
131.0,0.011,0.006,0.003,0.002,0.001,0.168,0.693,0.662,0.605,0.612,0.599,0.582,0.551,0.544,0.523,0.507,0.487,0.463,0.452,0.441,0.444,0.413,0.395,0.382,0.368,0.388,0.317
135.8,0.013,0.006,0.004,0.002,0.001,0.197,0.704,0.702,0.668,0.661,0.634,0.621,0.602,0.576,0.578,0.542,0.516,0.518,0.490,0.480,0.452,0.450,0.437,0.411,0.414,0.418,0.335
140.7,0.012,0.008,0.002,0.003,0.001,0.212,0.785,0.717,0.747,0.708,0.688,0.666,0.632,0.618,0.591,0.570,0.576,0.561,0.530,0.492,0.504,0.471,0.452,0.451,0.440,0.431,0.360
145.9,0.015,0.007,0.005,0.002,0.001,0.214,0.856,0.816,0.765,0.772,0.737,0.690,0.676,0.650,0.652,0.599,0.617,0.590,0.573,0.544,0.525,0.523,0.507,0.476,0.466,0.463,0.383
151.2,0.017,0.008,0.004,0.001,0.001,0.247,0.876,0.832,0.817,0.799,0.772,0.740,0.718,0.697,0.698,0.680,0.634,0.619,0.601,0.590,0.566,0.558,0.537,0.508,0.490,0.477,0.423
156.8,0.015,0.005,0.005,0.002,0.002,0.250,0.935,0.893,0.907,0.854,0.805,0.793,0.766,0.744,0.727,0.700,0.680,0.655,0.623,0.626,0.608,0.581,0.562,0.567,0.536,0.511,0.445
162.5,0.020,0.009,0.003,0.002,0.002,0.248,0.999,0.979,0.945,0.906,0.863,0.866,0.841,0.813,0.786,0.742,0.737,0.725,0.701,0.675,0.670,0.628,0.643,0.600,0.561,0.535,0.462
168.5,0.020,0.008,0.003,0.002,0.001,0.308,1.051,1.047,0.984,0.959,0.916,0.880,0.882,0.868,0.856,0.809,0.743,0.751,0.749,0.719,0.687,0.681,0.645,0.648,0.605,0.589,0.491
174.7,0.021,0.008,0.005,0.003,0.001,0.321,1.147,1.096,1.043,1.021,0.983,0.936,0.932,0.926,0.916,0.849,0.797,0.798,0.798,0.773,0.734,0.722,0.681,0.692,0.635,0.624,0.521
181.1,0.018,0.012,0.004,0.003,0.001,0.335,1.233,1.164,1.144,1.100,1.064,0.981,0.996,0.961,0.894,0.911,0.903,0.846,0.846,0.819,0.791,0.794,0.706,0.738,0.736,0.664,0.558
187.7,0.020,0.012,0.005,0.003,0.002,0.380,1.309,1.236,1.162,1.120,1.138,1.079,1.051,1.039,0.969,0.977,0.913,0.933,0.887,0.871,0.841,0.784,0.797,0.745,0.730,0.700,0.569
194.6,0.017,0.010,0.003,0.000,0.004,0.412,1.352,1.296,1.237,1.218,1.194,1.139,1.067,1.111,1.046,0.992,0.977,0.954,0.919,0.883,0.860,0.842,0.795,0.758,0.792,0.736,0.575
201.7,0.027,0.009,0.005,0.003,0.001,0.472,1.370,1.341,1.321,1.277,1.231,1.237,1.173,1.147,1.086,1.066,1.064,1.003,0.959,0.959,0.912,0.908,0.850,0.871,0.829,0.768,0.611
209.1,0.024,0.008,0.006,0.003,0.004,0.479,1.469,1.393,1.410,1.339,1.287,1.274,1.262,1.208,1.114,1.080,1.067,1.073,1.007,1.017,0.989,0.932,0.927,0.879,0.943,0.779,0.616
216.7,0.030,0.008,0.005,0.004,0.003,0.520,1.568,1.554,1.401,1.425,1.349,1.361,1.343,1.258,1.281,1.139,1.146,1.077,1.095,1.067,1.044,0.953,0.963,0.933,0.888,0.910,0.661
224.7,0.025,0.008,0.006,0.001,0.002,0.553,1.615,1.600,1.553,1.487,1.444,1.384,1.308,1.316,1.291,1.254,1.194,1.183,1.119,1.141,1.034,1.047,0.964,0.975,0.982,0.891,0.677
