Sample File,C:\Users\VanceLab\Desktop\VL_CU_SMPS_APS_CADR_20220705\VL_CU_APS_CADR_20220705.A21
Sample Time,155
Density,1
Stokes Correction,off
Lower Channel Bound,0.486968
Upper Channel Bound,20.5353
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Date,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22,07/05/22
Start Time,12:50:00,12:53:00,12:56:00,12:59:00,13:02:00,13:05:00,13:08:00,13:11:00,13:14:00,13:17:00,13:20:00,13:23:00,13:26:00,13:29:00,13:32:00,13:35:00,13:38:01,13:41:00,13:44:00,13:47:00,13:50:00,13:53:00,13:56:00,13:59:00,14:02:01,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00
Aerodynamic Diameter,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM,dM
<0.523,7.52727e-007,4.19553e-007,1.80984e-007,1.39851e-007,3.24948e-007,1.52191e-007,1.11058e-007,9.46051e-008,6.1699e-008,8.63785e-008,0.000525766,0.00137045,0.00132804,0.00127033,0.00122656,0.00116338,0.00113218,0.00109491,0.00106482,0.0010329,0.000982523,0.000967144,0.000929441,0.000896696,0.000875891,0.000851783,0.000829431,0.00079748,0.000766749,0.000751358,0.000728521,0.000707601,0.000683147
4.698,0,0,0,0,0,0,0,0,0,0,0.0119864,0.0291212,0.0229148,0.0167557,0.0129656,0.00990183,0.00737505,0.00522728,0.00420078,0.00347433,0.00252678,0.00203722,0.00131077,0.000915958,0.000868581,0.000868581,0.000679073,0.000457979,0.000568526,0.000205301,0.000173716,0.000236886,0.000126339
5.048,0,0,0,0,0,0,0,0,0,0,0.0110529,0.02677,0.0204205,0.0146196,0.0114253,0.00803492,0.00623196,0.00388028,0.00339034,0.0022537,0.00203813,0.00135222,0.00109745,0.000842687,0.000607518,0.000470337,0.000391947,0.000254766,0.000293961,0.000156779,0.000176376,0.000117584,0.000156779
5.425,0,0,0,0,0,0,0,0,0,0,0.0105302,0.0256323,0.0184339,0.0123541,0.00921694,0.00646888,0.00454767,0.00299125,0.00255351,0.00226168,0.0016537,0.000899807,0.000778212,0.000729573,0.000486382,0.00026751,0.000291829,0.000218872,0.00026751,7.29573e-005,7.29573e-005,2.43191e-005,0.000121596
5.829,0,0,0,0,0,0,0,0,0,0,0.00929498,0.0237807,0.0164473,0.0111962,0.00820855,0.00579427,0.00341017,0.00256517,0.00205214,0.0011166,0.000875177,0.00102607,0.00060357,0.000513035,0.000181071,0.000331964,0.000150893,0.000150893,0.000181071,0.000120714,6.0357e-005,3.01785e-005,0.000120714
6.264,0,0,0,0,0,3.74496e-005,0,0,0,0,0.00868832,0.0193989,0.0140062,0.00966201,0.00651624,0.00411946,0.00243423,0.00198483,0.00108604,0.00123584,0.000861342,0.000561745,0.000262148,7.48993e-005,0.000224698,0.000187248,0.000187248,0.000112349,7.48993e-005,0.000187248,7.48993e-005,7.48993e-005,3.74496e-005
6.732,0,0,0,0,0,0,0,0,0,0,0.00762152,0.0174273,0.0136165,0.00766799,0.00385723,0.00278836,0.0020448,0.00158007,0.000650618,0.000836508,0.000325309,0.000371781,0.000232363,0.000232363,0.000185891,9.29454e-005,0.000139418,4.64727e-005,4.64727e-005,0,0.000139418,0,0
7.234,0,0,0,0,0,0,0,0,0,0,0.00680503,0.0144751,0.00905414,0.00461358,0.00392154,0.00173009,0.00167242,0.00103805,0.000980385,0.000576697,0.000173009,5.76697e-005,0.000115339,0.000288349,5.76697e-005,0.000230679,0.000115339,5.76697e-005,0,0,0.000115339,5.76697e-005,0
7.774,0,0,0,0,0,0,0,0,0,0,0.0054389,0.011665,0.00794366,0.00386448,0.00257632,0.00164598,0.00107347,0.000715645,0.000644081,0.000572516,0.000214694,0.000143129,0,7.15645e-005,0.000143129,0,0,7.15645e-005,7.15645e-005,0,7.15645e-005,7.15645e-005,0
8.354,0,0,0,0,0,0,0,0,0,0,0.00293063,0.00852548,0.00479558,0.00328586,0.00150972,0.000976878,0.000888071,0.000532843,0.000355228,0.000355228,8.88071e-005,8.88071e-005,0.000355228,0.000177614,0,0,8.88071e-005,0,0,0,0,0,0
8.977,0,0,0,0,0,0,0,0,0,0,0.0027551,0.00672245,0.00440816,0.00231429,0.00110204,0.000881633,0,0.000330612,0.000220408,0.000110204,0.000110204,0.000110204,0.000110204,0,0.000110204,0.000110204,0,0,0.000110204,0.000110204,0.000110204,0,0
