Mean Free Path (m),8.38657e-008,8.39016e-008,8.39376e-008,8.40407e-008,8.40767e-008,8.40767e-008,8.41126e-008,8.41126e-008,8.41126e-008,8.41126e-008,8.41126e-008,8.41486e-008,8.41486e-008,8.41486e-008,8.41486e-008,8.41486e-008,8.41846e-008,8.42881e-008,8.42881e-008,8.41846e-008,8.42881e-008,8.43241e-008,8.43241e-008,8.43241e-008,8.43241e-008,8.42206e-008,8.43241e-008
Gas Viscosity (Pa*s),1.83531e-005,1.83579e-005,1.83627e-005,1.83627e-005,1.83674e-005,1.83674e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83722e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83770e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83817e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005,1.83865e-005
Diameter Midpoint (nm)
187.7,0.016,0.008,0.004,0.004,0.002,0.446,1.027,0.719,0.445,0.278,0.187,0.102,0.069,0.048,0.025,0.018,0.013,0.007,0.005,0.004,0.002,0.001,0.002,0.002,0.002,0.002,0.001
194.6,0.019,0.011,0.006,0.003,0.002,0.488,1.046,0.788,0.490,0.298,0.174,0.112,0.080,0.045,0.031,0.025,0.012,0.007,0.007,0.003,0.004,0.004,0.004,0.002,0.002,0.002,0.001
201.7,0.016,0.010,0.003,0.005,0.001,0.491,1.129,0.785,0.510,0.318,0.185,0.127,0.074,0.046,0.028,0.017,0.014,0.010,0.006,0.007,0.003,0.002,0.004,0.004,0.001,0.003,0.002
209.1,0.017,0.010,0.005,0.004,0.002,0.505,1.116,0.805,0.521,0.308,0.187,0.139,0.080,0.044,0.031,0.020,0.020,0.008,0.004,0.005,0.004,0.003,0.002,0.003,0.002,0.002,0.002
216.7,0.014,0.007,0.007,0.005,0.002,0.518,1.158,0.859,0.533,0.354,0.189,0.136,0.077,0.043,0.029,0.027,0.014,0.007,0.007,0.005,0.006,0.005,0.001,0.003,0.002,0.004,0.003
224.7,0.015,0.011,0.007,0.005,0.003,0.557,1.198,0.855,0.503,0.330,0.218,0.127,0.085,0.047,0.032,0.023,0.014,0.007,0.009,0.008,0.005,0.002,0.003,0.004,0.002,0.001,0.002
232.9,0.020,0.009,0.007,0.003,0.003,0.565,1.248,0.897,0.574,0.355,0.217,0.140,0.075,0.057,0.033,0.021,0.014,0.014,0.005,0.007,0.009,0.003,0.003,0.002,0.002,0.002,0.002
241.4,0.016,0.013,0.007,0.004,0.003,0.564,1.321,0.894,0.540,0.348,0.219,0.136,0.076,0.046,0.034,0.022,0.016,0.008,0.008,0.004,0.005,0.007,0.002,0.005,0.002,0.002,0.004
250.3,0.018,0.010,0.007,0.003,0.001,0.595,1.324,0.911,0.560,0.357,0.220,0.136,0.081,0.069,0.035,0.021,0.010,0.009,0.008,0.006,0.005,0.003,0.006,0.003,0.003,0.004,0.003
259.5,0.021,0.009,0.005,0.003,0.001,0.622,1.414,0.946,0.590,0.363,0.231,0.135,0.099,0.053,0.042,0.022,0.010,0.012,0.009,0.004,0.003,0.003,0.004,0.000,0.001,0.002,0.002
